2018-11-19 04:48:50 INFO  RunApplication:42 - FileTransfer started. FileTransfer { thread name: 'pool-2-thread-3', file to read: C:\temp\split\38.mp4, file to read offset = 0, file to write: C:\temp\split\original.mp4, file to write offset:15200000, write file length = 400000, user command: 'MERGE'}
2018-11-19 04:48:50 INFO  RunApplication:42 - FileTransfer started. FileTransfer { thread name: 'pool-2-thread-4', file to read: C:\temp\split\39.mp4, file to read offset = 0, file to write: C:\temp\split\original.mp4, file to write offset:15600000, write file length = 400000, user command: 'MERGE'}
2018-11-19 04:48:51 INFO  RunApplication:42 - FileTransfer started. FileTransfer { thread name: 'pool-2-thread-1', file to read: C:\temp\split\40.mp4, file to read offset = 0, file to write: C:\temp\split\original.mp4, file to write offset:16000000, write file length = 400000, user command: 'MERGE'}
2018-11-19 04:48:51 INFO  RunApplication:42 - FileTransfer started. FileTransfer { thread name: 'pool-2-thread-2', file to read: C:\temp\split\41.mp4, file to read offset = 0, file to write: C:\temp\split\original.mp4, file to write offset:16400000, write file length = 400000, user command: 'MERGE'}
2018-11-19 04:48:51 INFO  RunApplication:42 - FileTransfer started. FileTransfer { thread name: 'pool-2-thread-3', file to read: C:\temp\split\42.mp4, file to read offset = 0, file to write: C:\temp\split\original.mp4, file to write offset:16800000, write file length = 400000, user command: 'MERGE'}
2018-11-19 04:48:51 INFO  RunApplication:42 - FileTransfer started. FileTransfer { thread name: 'pool-2-thread-4', file to read: C:\temp\split\43.mp4, file to read offset = 0, file to write: C:\temp\split\original.mp4, file to write offset:17200000, write file length = 400000, user command: 'MERGE'}
2018-11-19 04:48:53 INFO  RunApplication:42 - FileTransfer started. FileTransfer { thread name: 'pool-2-thread-1', file to read: C:\temp\split\44.mp4, file to read offset = 0, file to write: C:\temp\split\original.mp4, file to write offset:17600000, write file length = 400000, user command: 'MERGE'}
2018-11-19 04:48:53 INFO  RunApplication:42 - FileTransfer started. FileTransfer { thread name: 'pool-2-thread-2', file to read: C:\temp\split\45.mp4, file to read offset = 0, file to write: C:\temp\split\original.mp4, file to write offset:18000000, write file length = 400000, user command: 'MERGE'}
2018-11-19 04:48:53 INFO  RunApplication:42 - FileTransfer started. FileTransfer { thread name: 'pool-2-thread-3', file to read: C:\temp\split\46.mp4, file to read offset = 0, file to write: C:\temp\split\original.mp4, file to write offset:18400000, write file length = 400000, user command: 'MERGE'}
2018-11-19 04:48:53 INFO  RunApplication:42 - FileTransfer started. FileTransfer { thread name: 'pool-2-thread-4', file to read: C:\temp\split\47.mp4, file to read offset = 0, file to write: C:\temp\split\original.mp4, file to write offset:18800000, write file length = 400000, user command: 'MERGE'}
2018-11-19 04:48:54 INFO  RunApplication:42 - FileTransfer started. FileTransfer { thread name: 'pool-2-thread-1', file to read: C:\temp\split\48.mp4, file to read offset = 0, file to write: C:\temp\split\original.mp4, file to write offset:19200000, write file length = 400000, user command: 'MERGE'}
2018-11-19 04:48:54 INFO  RunApplication:42 - FileTransfer started. FileTransfer { thread name: 'pool-2-thread-2', file to read: C:\temp\split\49.mp4, file to read offset = 0, file to write: C:\temp\split\original.mp4, file to write offset:19600000, write file length = 400000, user command: 'MERGE'}
2018-11-19 04:48:54 INFO  RunApplication:42 - FileTransfer started. FileTransfer { thread name: 'pool-2-thread-3', file to read: C:\temp\split\50.mp4, file to read offset = 0, file to write: C:\temp\split\original.mp4, file to write offset:20000000, write file length = 400000, user command: 'MERGE'}
2018-11-19 04:48:54 INFO  RunApplication:42 - FileTransfer started. FileTransfer { thread name: 'pool-2-thread-4', file to read: C:\temp\split\51.mp4, file to read offset = 0, file to write: C:\temp\split\original.mp4, file to write offset:20400000, write file length = 400000, user command: 'MERGE'}
2018-11-19 04:48:55 INFO  RunApplication:42 - FileTransfer started. FileTransfer { thread name: 'pool-2-thread-1', file to read: C:\temp\split\52.mp4, file to read offset = 0, file to write: C:\temp\split\original.mp4, file to write offset:20800000, write file length = 400000, user command: 'MERGE'}
2018-11-19 04:48:55 INFO  RunApplication:42 - FileTransfer started. FileTransfer { thread name: 'pool-2-thread-2', file to read: C:\temp\split\53.mp4, file to read offset = 0, file to write: C:\temp\split\original.mp4, file to write offset:21200000, write file length = 400000, user command: 'MERGE'}
2018-11-19 04:48:55 INFO  RunApplication:42 - FileTransfer started. FileTransfer { thread name: 'pool-2-thread-3', file to read: C:\temp\split\54.mp4, file to read offset = 0, file to write: C:\temp\split\original.mp4, file to write offset:21600000, write file length = 400000, user command: 'MERGE'}
2018-11-19 04:48:55 INFO  RunApplication:42 - FileTransfer started. FileTransfer { thread name: 'pool-2-thread-4', file to read: C:\temp\split\55.mp4, file to read offset = 0, file to write: C:\temp\split\original.mp4, file to write offset:22000000, write file length = 400000, user command: 'MERGE'}
2018-11-19 04:48:56 INFO  RunApplication:42 - FileTransfer started. FileTransfer { thread name: 'pool-2-thread-1', file to read: C:\temp\split\56.mp4, file to read offset = 0, file to write: C:\temp\split\original.mp4, file to write offset:22400000, write file length = 400000, user command: 'MERGE'}
2018-11-19 04:48:56 INFO  RunApplication:42 - FileTransfer started. FileTransfer { thread name: 'pool-2-thread-2', file to read: C:\temp\split\57.mp4, file to read offset = 0, file to write: C:\temp\split\original.mp4, file to write offset:22800000, write file length = 400000, user command: 'MERGE'}
